Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Hamm(Westf)Hbf;RE 1 (26802);Köln Hbf;13.07.2025, 06:12;13.07.2025, 07:41;89
Köln Messe/Deutz;RE 5 (28539);Köln Hbf;13.07.2025, 07:29;13.07.2025, 08:30;62
Oberhausen Hbf;RE 5 (28507);Köln Hbf;13.07.2025, 08:29;13.07.2025, 09:29;60
Hamm(Westf)Hbf;RE 1 (26808);Köln Hbf;13.07.2025, 09:12;13.07.2025, 10:31;80
Krefeld Hbf;RE 7 (17410);Köln Hbf;13.07.2025, 09:18;13.07.2025, 10:37;80
Oberhausen Hbf;RE 5 (28509);Köln Hbf;13.07.2025, 09:29;13.07.2025, 10:48;80
Minden(Westf);RE 6 (89710);Köln Hbf;13.07.2025, 09:50;13.07.2025, 11:02;72
Köln/Bonn Flughafen;RE 6 (89717);Köln Hbf;13.07.2025, 10:01;13.07.2025, 11:02;62
Krefeld Hbf;RE 7 (17412);Köln Hbf;13.07.2025, 10:18;13.07.2025, 11:31;74
Düsseldorf Hbf;RE 6 (89702);Köln Hbf;14.07.2025, 05:52;14.07.2025, 07:05;74
Minden(Westf);RE 6 (89708);Köln Hbf;14.07.2025, 08:52;14.07.2025, 10:01;70
Bonn-Mehlem;RB 48 (17330);Köln Hbf;14.07.2025, 11:22;14.07.2025, 12:23;61
Koblenz Hbf;RE 5 (28514);Köln Hbf;14.07.2025, 11:28;14.07.2025, 12:31;64
Bonn-Mehlem;RB 48 (17334);Köln Hbf;14.07.2025, 12:22;14.07.2025, 13:25;63
Koblenz Hbf;RE 5 (28518);Köln Hbf;14.07.2025, 13:28;14.07.2025, 15:20;112
Mainz Hbf;RB 26 (25424);Köln Hbf;14.07.2025, 14:02;14.07.2025, 15:30;88
Koblenz Hbf;RE 5 (28520);Köln Hbf;14.07.2025, 14:28;14.07.2025, 15:36;69
Bonn-Mehlem;RB 48 (17342);Köln Hbf;14.07.2025, 14:22;14.07.2025, 15:56;95
Bonn-Mehlem;RB 48 (17346);Köln Hbf;14.07.2025, 15:22;14.07.2025, 17:47;145
Koblenz Hbf;RE 5 (28522);Köln Hbf;14.07.2025, 15:28;14.07.2025, 18:04;157
Koblenz Hbf;RE 5 (28526);Köln Hbf;14.07.2025, 17:28;14.07.2025, 20:50;203
Minden(Westf);RE 6 (89730);Köln Hbf;14.07.2025, 19:50;14.07.2025, 21:17;88
Oberhausen Hbf;RE 5 (28531);Köln Hbf;14.07.2025, 20:29;14.07.2025, 21:45;76
