Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Hamm(Westf)Hbf;RE 1 (26820);Köln Hbf;14.06.2025, 15:12;14.06.2025, 16:21;69
Minden(Westf);RE 6 (89722);Köln Hbf;14.06.2025, 15:50;14.06.2025, 16:58;68
Innsbruck Hbf;UEX 330 (330);Köln Hbf;15.06.2025, 06:15;15.06.2025, 07:21;67
Münster(Westf)Hbf;RE 7 (17407);Köln Hbf;15.06.2025, 08:38;15.06.2025, 10:07;89
Münster(Westf)Hbf;RE 7 (17409);Köln Hbf;15.06.2025, 09:38;15.06.2025, 11:08;91
Münster(Westf)Hbf;RE 7 (17427);Köln Hbf;15.06.2025, 18:38;15.06.2025, 21:12;154
Münster(Westf)Hbf;RE 7 (17405);Köln Hbf;16.06.2025, 07:38;16.06.2025, 08:44;66
Koblenz Hbf;RB 27 (10612);Köln Hbf;16.06.2025, 11:22;16.06.2025, 12:23;62
Troisdorf;RB 27 (70290);Köln Hbf;16.06.2025, 14:22;16.06.2025, 15:27;66
Koblenz Hbf;RE 5 (28526);Köln Hbf;16.06.2025, 17:28;16.06.2025, 18:29;62
Koblenz Hbf;RE 5 (28528);Köln Hbf;16.06.2025, 18:28;16.06.2025, 20:14;107
Koblenz Hbf;RE 5 (28530);Köln Hbf;16.06.2025, 19:28;16.06.2025, 20:34;66
Bonn-Mehlem;RB 48 (17362);Köln Hbf;16.06.2025, 19:22;16.06.2025, 20:40;79
Mainz Hbf;RB 26 (25436);Köln Hbf;16.06.2025, 20:02;16.06.2025, 21:13;72
Hamm(Westf)Hbf;RE 1 (26820);Köln Hbf;17.06.2025, 15:12;17.06.2025, 16:43;91
Krefeld Hbf;TRI RE7 (89457);Köln Hbf;17.06.2025, 23:18;18.06.2025, 01:04;107
Krefeld Hbf;TRI RE7 (89453);Köln Hbf;18.06.2025, 00:18;18.06.2025, 01:27;69
Friedrichsfeld(Niederrhein);RE 5 (28509);Köln Hbf;18.06.2025, 09:29;18.06.2025, 11:55;146
Friedrichsfeld(Niederrhein);RE 5 (28533);Köln Hbf;18.06.2025, 21:29;18.06.2025, 22:29;61
Hamm(Westf)Hbf;RE 1 (26804);Köln Hbf;19.06.2025, 07:12;19.06.2025, 08:14;63
Köln Messe/Deutz;RE 1 (26856);Köln Hbf;19.06.2025, 22:40;20.06.2025, 00:02;82
Koblenz Hbf;RE 5 (28520);Köln Hbf;21.06.2025, 14:28;21.06.2025, 15:30;62
Brühl;RB 48 (17350);Köln Hbf;21.06.2025, 16:22;21.06.2025, 17:29;68
Krefeld Hbf;RE 7 (17426);Köln Hbf;21.06.2025, 17:18;21.06.2025, 18:32;74
